,Channel,Year,Degree,Level,Nationality,Career,Crypto type,Crypto usage,Crypto knowledge,Duration,Trade performance,Remittance amount,Crypto knowledge source,Influenced family and friends,Intend to use crypto in future
264,online,2022,Business,1st,USA,Legal,"BTC,NFT,DOGE",trade,+,1-3,+,,marketing,Y,N
265,f2f,2021,STEM,3rd,Turkey,Engineering,"BTC,ETH",remittance,++,,,75,friends,Y,Y
266,online,2020,Business,MSc,South America,Medical,"BTC,ALT",remittance,++,1-31-3,,25,marketing,Y,N
267,f2f,2022,STEM,MSc,USA,Finance,"BTC,ALT","remittance,trans",++,11,,50,study/research,Y,Y
268,online,2024,Business,PhD,South America,,"ETH,DOGE",remittance,+++,1,,50,friends,Y,Y
269,online,2023,STEM,3rd,UK,Engineering,"BTC,NFT,DOGE",trade,+++,1,++,,study/research,Y,N
270,online,2020,Business,2nd,Turkey,,"ETH,DOGE",trade,++,1,-,,marketing,Y,N
271,f2f,2023,Business,3rd,USA,Public,ALT,"remittance,trans",+++,1,,100,study/research,Y,Y
272,online,2024,Business,PhD,Turkey,Engineering,ALT,"remittance,trans",++,1-3,,50,marketing,Y,Y
273,online,2024,STEM,PhD,China,Medical,ETH,"trade,remittance",+++,1,+,75,family,N,N
274,online,2025,STEM,Phd,Europe,Technology,"BTC,ALT","remittance,trans",+++,1,,25,family,Y,Y
275,online,2024,Business,3rd,USA,Finance,"BTC,ALT","remittance,trans",++,1-3,,75,study/research,Y,Y
276,f2f,2020,Humanities,MSc,USA,Technology,"BTC,ETH,ALT",remittance,+++,4-5,,25,study/research,N,Y
277,f2f,2020,STEM,MSc,Turkey,Finance,"ETH,DOGE",trade,+++,1,,,friends,N,Y
278,online,2024,STEM,2nd,ME,Technology,"BTC,ETH","trade,remittance,trans",++,1-3,+++,25,family,N,N
279,online,2024,Humanities,1st,USA,Technology,"BTC,ALT",remittance,++,1,,25,study/research,N,Y
280,online,2024,Business,2nd,Europe,Retail,"BTC,NFT,DOGE",trade,+++,1,--,,friends,Y,N
281,online,2022,Humanities,1st,China,Medical,"BTC,ETH",remittance,+,,,75,family,N,Y
282,online,2021,STEM,PhD,Europe,Technology,"BTC,ETH","trade,remittance",+,1-3,-,25,family,Y,Y
283,online,2021,STEM,MSc,Europe,Technology,"BTC,ETH","trade,remittance",+++,5+,++,75,marketing,Y,N
284,online,2020,STEM,1st,USA,Medical,"BTC,NFT,DOGE",trade,+++,1,--,,friends,Y,N
285,online,2020,Business,1st,Europe,Finance,"ETH,NFT,ALT",remittance,+++,1-3,,25,marketing,Y,N
286,online,2023,Humanities,PhD,Turkey,Finance,ALT,"remittance,trans",++,11,,50,study/research,Y,Y
287,online,2022,Humanities,3rd,Europe,Medical,BTC,remittance,+++,1,,25,study/research,Y,Y
288,online,2020,Business,1st,ME,Finance,"BTC,NFT,DOGE",trade,++,1,--,,marketing,N,N
289,f2f,2020,Business,1st,USA,Public,"NFT,ALT",remittance,+++,,,100,marketing,Y,N
290,online,2024,Humanities,3rd,ME,Medical,"BTC,ETH",remittance,+++,1-3,,75,study/research,N,Y
291,f2f,2021,STEM,MSc,Europe,Technology,,trade,+++,1-3,+++,,study/research,N,N
292,online,2021,STEM,PhD,USA,Medical,"BTC,ETH","trade,remittance",,5+,++,100,marketing,N,Y
293,f2f,2021,STEM,PhD,Europe,Finance,"BTC,ALT",trade,+++,5+,++,,friends,Y,Y
294,online,2025,STEM,3rd,USA,Technology,"BTC,ALT","remittance,trans",+++,11,,25,study/research,Y,N
295,f2f,2023,Business,PhD,South America,Finance,"BTC,ALT","remittance,trans",+++,4-5,,25,marketing,Y,Y
296,online,2022,STEM,PhD,South America,Technology,ETH,remittance,++,,,100,friends,Y,Y
297,f2f,2024,STEM,1st,USA,Engineering,"ETH,NFT,ALT",remittance,+++,4-5,,25,marketing,N,Y
298,online,2022,STEM,3rd,Europe,Finance,"BTC,DOGE",remittance,+,1-3,,25,study/research,Y,Y
299,online,2021,Business,3rd,China,,"BTC,ETH",remittance,+,,,50,friends,N,N
300,online,2025,Business,Phd,Turkey,Finance,,"remittance,trans",+++,1-3,,100,study/research,N,Y
301,online,2024,Business,MSc,Turkey,Technology,"BTC,ETH","trade,remittance",+++,1,++,100,marketing,Y,N
302,online,2023,Business,MSc,India,Engineering,,"remittance,trans",+++,11,,25,study/research,Y,Y
303,online,2024,STEM,PhD,Turkey,Engineering,,trade,+++,1-3,+++,,friends,N,Y
304,online,2024,STEM,3rd,China,Finance,"ETH,NFT,ALT",remittance,++,4-5,,25,family,Y,Y
305,f2f,2023,Business,PhD,South America,Technology,"BTC,ETH,ALT","remittance,trans",++,4-5,,25,family,Y,Y
306,online,2021,STEM,MSc,Africa,Engineering,BTC,"trade,remittance",++,1-3,++,,family,Y,N
307,f2f,2021,STEM,PhD,UK,Engineering,BTC,trade,+++,4-5,,,friends,Y,Y
308,f2f,2022,Business,MSc,South America,Finance,"ETH,DOGE",remittance,+,5+,,25,family,Y,N
309,f2f,2020,STEM,MSc,Europe,Engineering,"BTC,ETH",trade,+++,4-5,+++,,friends,Y,N
310,f2f,2023,STEM,MSc,USA,Finance,NFT,"trade,remittance",+,4-5,--,,family,N,N
311,online,2025,STEM,Phd,Turkey,Finance,"BTC,ETH,ALT","remittance,trans",++,,,50,family,N,Y
312,online,2024,STEM,MSc,India,Retail,NFT,"trade,remittance",+++,5+,,25,family,N,Y
313,f2f,2021,STEM,MSc,Europe,Technology,BTC,trade,+++,1,-,,study/research,N,N
314,online,2022,Business,3rd,USA,Finance,"BTC,ETH","trade,remittance,trans",+++,4-5,-,,friends,Y,Y
315,online,2024,Humanities,PhD,Europe,Technology,ALT,"remittance,trans",+++,1,,50,study/research,Y,Y
316,online,2024,STEM,MSc,Turkey,Medical,"BTC,ALT","remittance,trans",++,1-3,,25,study/research,N,Y
317,online,2021,STEM,PhD,Africa,Technology,"BTC,NFT","trade,remittance",+,1-3,--,75,family,Y,Y
318,online,2024,Business,MSc,Europe,Retail,"BTC,ETH,ALT","remittance,trans",++,4-5,,75,study/research,Y,Y
319,online,2024,Humanities,PhD,ME,Engineering,"BTC,ETH",remittance,+++,1,,50,friends,Y,Y
320,online,2025,Humanities,3rd,South America,Finance,"ETH,DOGE","remittance,trans",++,4-5,,25,study/research,N,Y
321,f2f,2022,Humanities,Phd,USA,,BTC,remittance,+,1-31-3,,75,friends,Y,N
322,f2f,2021,Business,1st,ME,Engineering,BTC,remittance,++,4-5,,75,marketing,Y,N
323,f2f,2025,Business,Phd,China,Finance,ALT,"remittance,trans",++,1,,25,marketing,Y,N
324,online,2023,STEM,Phd,Europe,Medical,ALT,"remittance,trans",++,,,50,study/research,Y,Y
325,online,2023,STEM,PhD,Turkey,,"BTC,ALT",remittance,+,1-3,,25,marketing,Y,Y
326,online,2023,Humanities,Phd,USA,Technology,"ETH,ALT",remittance,+++,4-5,,100,family,N,Y
327,f2f,2023,STEM,1st,China,Engineering,BTC,remittance,+,11-3,,100,marketing,Y,Y
328,online,2021,STEM,MSc,India,Medical,"BTC,ETH","trade,remittance",+++,5+,-,,friends,Y,Y
329,online,2022,STEM,3rd,Turkey,Engineering,BTC,remittance,+,1-3,,50,marketing,Y,N
330,f2f,2022,STEM,PhD,ME,Technology,BTC,"trade,remittance",+,,-,50,marketing,Y,Y
331,online,2021,STEM,PhD,USA,Finance,NFT,"trade,remittance",+,1-3,,25,family,Y,Y
332,online,2024,Humanities,3rd,Europe,Finance,ALT,"remittance,trans",+++,4-5,,75,study/research,Y,Y
333,online,2021,Humanities,2nd,China,Legal,"BTC,NFT,DOGE",trade,+,1,--,,marketing,Y,N
334,f2f,2020,Business,Phd,Turkey,Retail,"BTC,ALT",remittance,++,1-3,,25,study/research,N,Y
335,f2f,2020,Humanities,3rd,Turkey,,"BTC,ETH",remittance,+++,5+,,25,marketing,Y,N
336,f2f,2023,STEM,MSc,Europe,Retail,"BTC,NFT,DOGE",trade,++,1,++,,marketing,Y,N
337,online,2022,Humanities,1st,ME,Engineering,"BTC,ETH",remittance,+++,1,,75,friends,Y,Y
338,online,2023,Business,1st,Turkey,Technology,ALT,"remittance,trans",+++,4-5,,75,family,Y,Y
339,f2f,2020,STEM,3rd,USA,Public,ALT,"remittance,trans",++,1-3,,75,study/research,Y,Y
340,online,2020,Humanities,2nd,Europe,Finance,ETH,remittance,++,1-3,,25,marketing,N,Y
341,f2f,2021,Business,MSc,USA,Finance,"BTC,DOGE","remittance,trans",+++,1,,75,friends,Y,N
342,online,2021,STEM,PhD,Turkey,Medical,"BTC,NFT","trade,remittance",+,1,,100,friends,Y,N
343,online,2024,Business,3rd,South America,Finance,ETH,"trade,remittance,trans",,,--,,family,Y,N
344,online,2024,Business,MSc,USA,Retail,BTC,"trade,remittance,trans",+++,1-3,--,100,family,Y,Y
345,online,2022,STEM,MSc,USA,Finance,"BTC,ETH","trade,remittance,trans",+++,1-3,-,75,family,Y,Y
346,online,2020,Business,3rd,USA,Technology,BTC,remittance,+++,1-3,,25,marketing,N,Y
347,online,2024,STEM,MSc,ME,Finance,DOGE,trade,++,5+,,,friends,Y,N
348,online,2023,STEM,PhD,Turkey,Technology,"BTC,ETH,ALT","remittance,trans",++,,,100,study/research,Y,Y
349,f2f,2022,STEM,3rd,India,Engineering,"BTC,ALT",remittance,+++,1-3,,25,marketing,Y,Y
350,online,2022,STEM,3rd,South America,Engineering,"BTC,ETH",remittance,+,1-3,,50,friends,Y,Y
351,online,2021,STEM,PhD,Europe,Engineering,"BTC,ETH",trade,+++,1,,,friends,Y,N
352,f2f,2020,STEM,PhD,South America,Finance,BTC,"trade,remittance",+++,1-3,-,25,family,Y,Y
353,f2f,2020,Business,Phd,Europe,Engineering,BTC,remittance,++,1-31-3,,25,study/research,N,N
354,f2f,2022,Humanities,Phd,USA,Public,"BTC,ALT",remittance,+++,1-3,,50,marketing,Y,Y
355,online,2024,STEM,MSc,Africa,Retail,NFT,"trade,remittance",+++,1,+,50,study/research,Y,Y
356,online,2023,STEM,MSc,Africa,Technology,"BTC,NFT","trade,remittance",,1,++,100,marketing,Y,Y
357,f2f,2024,STEM,3rd,USA,Retail,"NFT,ALT",remittance,+++,1-31-3,,50,family,Y,Y
358,f2f,2022,Business,PhD,USA,,BTC,"remittance,trans",++,4-5,,25,friends,N,Y
359,f2f,2020,STEM,MSc,UK,Finance,"BTC,ETH",trade,+++,1-3,+++,,friends,Y,N
360,online,2024,STEM,PhD,South America,Engineering,,"trade,remittance,trans",,4-5,++,25,family,Y,N
361,online,2024,STEM,MSc,USA,Medical,"BTC,ALT","remittance,trans",+++,4-5,,50,family,Y,Y
362,online,2021,Business,2nd,USA,Medical,"BTC,ETH,NFT",trade,+,1,--,,marketing,Y,N
363,online,2025,Business,MSc,Turkey,Retail,"NFT,ALT","remittance,trans",++,1,,75,study/research,Y,Y
364,f2f,2024,Humanities,2nd,Africa,Legal,"BTC,ETH",trade,+++,1,--,,friends,Y,Y
365,online,2024,STEM,PhD,ME,Engineering,BTC,trade,++,5+,+++,,friends,Y,N
366,online,2022,Humanities,Phd,South America,Retail,ALT,"remittance,trans",+++,1-3,,50,family,Y,N
367,online,2021,STEM,MSc,China,Retail,,"trade,remittance",++,1,-,,family,Y,Y
368,f2f,2024,STEM,MSc,Africa,Technology,NFT,"trade,remittance",+++,1-3,--,,family,Y,Y
369,online,2022,STEM,PhD,Africa,Engineering,,"trade,remittance",+++,5+,-,25,friends,Y,N
370,f2f,2021,Humanities,PhD,Africa,Finance,DOGE,trade,+++,1,--,,study/research,N,Y
371,f2f,2020,STEM,MSc,Turkey,Finance,BTC,"trade,remittance",+++,1-3,++,,family,N,Y
372,f2f,2020,Business,MSc,USA,Finance,"ETH,DOGE",remittance,+++,4-5,,25,study/research,N,Y
373,online,2020,STEM,2nd,Africa,Medical,"ETH,DOGE",trade,+++,1-3,--,,marketing,Y,N
374,f2f,2021,STEM,MSc,UK,Technology,BTC,trade,+++,1-3,+++,,friends,N,Y
375,f2f,2021,STEM,MSc,Europe,Engineering,NFT,trade,+++,4-5,,,friends,N,Y
376,f2f,2020,Business,PhD,Turkey,Technology,ALT,"remittance,trans",+++,1,,50,marketing,N,N
377,online,2020,Business,3rd,USA,Public,BTC,remittance,+,,,75,marketing,N,N
378,online,2023,Humanities,2nd,Europe,Engineering,BTC,remittance,++,4-5,,25,family,Y,N
379,online,2020,Humanities,1st,USA,Legal,"BTC,NFT,DOGE",trade,+,1,-,,friends,Y,Y
380,online,2020,STEM,MSc,Europe,Retail,"BTC,NFT","trade,remittance",+++,1,,,marketing,N,N
381,f2f,2024,STEM,3rd,ME,,"BTC,DOGE",remittance,+++,1-3,,100,marketing,Y,Y
382,online,2024,Business,Phd,USA,Finance,"BTC,ALT","remittance,trans",++,11,,25,study/research,Y,N
383,f2f,2024,Business,3rd,South America,Finance,,"remittance,trans",+++,4-5,,25,family,Y,N
384,f2f,2024,STEM,MSc,USA,Medical,BTC,remittance,++,5+,,25,marketing,N,N
385,online,2023,Business,3rd,Europe,Engineering,"BTC,ALT",remittance,+++,1-31-3,,75,family,Y,Y
386,f2f,2024,Humanities,PhD,USA,Technology,ALT,"remittance,trans",++,,,50,study/research,N,Y
387,f2f,2021,STEM,PhD,UK,Finance,"BTC,NFT,DOGE",trade,+++,4-5,++,,study/research,N,N
388,online,2022,Humanities,2nd,South America,Legal,"ETH,ALT",remittance,+,4-5,,75,study/research,N,Y
389,online,2024,Humanities,3rd,Turkey,Finance,,"remittance,trans",++,1,,75,study/research,Y,Y
390,f2f,2020,STEM,3rd,Europe,Engineering,"BTC,ETH,NFT",trade,++,5+,-,,friends,Y,Y
391,f2f,2023,STEM,1st,ME,Finance,,trade,+++,4-5,,,friends,Y,N
392,f2f,2023,Humanities,3rd,USA,Finance,"BTC,ALT","remittance,trans",++,1-3,,25,study/research,Y,Y
393,f2f,2021,STEM,PhD,Africa,Engineering,NFT,trade,+++,,++,,friends,N,Y
394,online,2025,Business,Phd,China,Technology,"BTC,ALT","remittance,trans",++,1-3,,25,friends,Y,Y
395,online,2022,STEM,2nd,Africa,,"BTC,NFT,DOGE",trade,++,1,--,,marketing,Y,Y
396,online,2022,Humanities,MSc,China,Engineering,ETH,remittance,+++,1,,50,marketing,Y,Y
397,online,2023,STEM,MSc,China,Technology,NFT,"trade,remittance",,1-3,--,25,study/research,N,Y
398,online,2022,Business,1st,Europe,Public,"BTC,ETH,ALT","remittance,trans",++,11,,50,study/research,Y,Y
399,online,2022,Humanities,1st,UK,Public,"BTC,NFT,DOGE",trade,+,1-3,,,friends,Y,N
400,online,2021,Humanities,2nd,Africa,,BTC,trade,++,5+,++,,family,Y,N
401,f2f,2025,Business,3rd,USA,Finance,ALT,"remittance,trans",+++,5+,,50,study/research,N,Y
402,f2f,2020,Humanities,PhD,USA,,"BTC,ETH",trade,+,1,-,,marketing,N,Y
403,online,2021,STEM,MSc,UK,Finance,BTC,trade,+++,1-3,--,,friends,Y,Y
404,f2f,2021,STEM,MSc,Europe,Engineering,"ETH,DOGE",trade,++,1-3,--,,friends,Y,Y
405,online,2020,STEM,MSc,China,Medical,BTC,remittance,+,1-3,,50,friends,Y,Y
406,online,2025,Humanities,1st,Turkey,,BTC,"remittance,trans",++,11,,25,study/research,Y,N
407,f2f,2023,Business,PhD,China,Engineering,ETH,"trade,remittance,trans",++,1-3,+++,25,marketing,Y,Y
408,online,2023,STEM,3rd,Europe,Finance,,"trade,remittance,trans",+++,4-5,+++,75,study/research,Y,Y
409,online,2023,Business,MSc,China,Technology,DOGE,"trade,remittance,trans",,,++,50,family,N,N
410,f2f,2021,STEM,MSc,Europe,Technology,,"trade,remittance",+++,1-3,++,50,family,Y,Y
411,online,2020,Humanities,1st,USA,Medical,NFT,trade,+,1-3,--,,marketing,Y,N
412,f2f,2024,Business,3rd,South America,Technology,"BTC,ETH",remittance,+++,1-3,,75,marketing,Y,Y
413,online,2022,STEM,MSc,ME,Finance,BTC,"trade,remittance",+++,5+,++,100,marketing,Y,Y
414,f2f,2023,Business,3rd,India,,"BTC,ALT","remittance,trans",+++,1,,25,study/research,Y,N
415,f2f,2023,Humanities,1st,Turkey,Legal,"BTC,ETH,NFT",trade,+,1-3,+,,marketing,Y,N
416,online,2023,STEM,PhD,China,Technology,"BTC,NFT","trade,remittance",+,1,++,,marketing,Y,N
417,online,2024,Humanities,MSc,Turkey,Engineering,"BTC,ALT","remittance,trans",+++,1,,50,family,Y,Y
418,online,2021,STEM,PhD,Africa,Medical,,"trade,remittance",+++,4-5,++,25,family,N,N
419,online,2020,Humanities,1st,Africa,,"BTC,ETH",trade,++,1,-,,marketing,Y,N
420,online,2022,Business,Phd,USA,Engineering,"BTC,ALT","remittance,trans",+++,1,,50,study/research,Y,Y
421,online,2024,STEM,PhD,South America,Legal,"BTC,ALT",remittance,+++,1-3,,25,marketing,N,Y
422,online,2025,STEM,MSc,India,Engineering,"BTC,ALT","remittance,trans",+++,5+,,50,friends,Y,N
423,f2f,2021,Business,2nd,USA,Public,BTC,remittance,++,,,25,family,N,N
424,f2f,2022,STEM,PhD,ME,Engineering,"BTC,ETH",remittance,+++,1,,100,friends,Y,Y
425,online,2023,STEM,3rd,Africa,Technology,ETH,"trade,remittance,trans",,1-3,-,,marketing,Y,Y
426,online,2025,Business,3rd,Europe,Finance,ALT,"remittance,trans",+++,1-3,,50,study/research,Y,Y
427,online,2022,Humanities,MSc,USA,Legal,"BTC,ALT",remittance,++,1-31-3,,50,marketing,N,Y
428,online,2024,STEM,MSc,Turkey,Finance,BTC,trade,++,1-3,++,,study/research,N,N
429,online,2021,Business,PhD,China,Engineering,ETH,"trade,remittance,trans",+++,,,75,family,Y,Y
430,online,2021,Business,3rd,UK,Engineering,"BTC,ETH",trade,+++,4-5,,,study/research,Y,Y
431,online,2020,Humanities,1st,Europe,Public,"BTC,ETH",trade,+,1,-,,friends,N,N
432,f2f,2023,Humanities,3rd,USA,Legal,"BTC,ETH",remittance,+,5+,,25,marketing,N,Y
433,online,2021,Humanities,Phd,South America,Finance,"BTC,ETH",remittance,++,1-31-3,,25,marketing,N,Y
434,online,2021,Business,3rd,USA,Finance,"BTC,ETH","remittance,trans",+++,1,,50,study/research,Y,Y
435,online,2022,STEM,PhD,ME,Finance,"BTC,ETH","trade,remittance",+++,1-3,++,50,marketing,N,Y
436,online,2020,Humanities,3rd,Turkey,Technology,ALT,"remittance,trans",+++,1,,25,marketing,Y,Y
437,online,2022,STEM,PhD,ME,Finance,ETH,remittance,+,11-3,,75,friends,Y,N
438,online,2021,Humanities,1st,Europe,Engineering,,remittance,+,1-31-3,,25,family,Y,Y
439,online,2020,STEM,1st,ME,,"NFT,ALT",trade,+,5+,-,,friends,Y,Y
440,f2f,2023,STEM,MSc,Europe,Technology,,remittance,+++,5+,,25,marketing,N,N
441,online,2020,Business,MSc,USA,Finance,BTC,remittance,++,5+,,25,marketing,N,Y
442,online,2024,Business,MSc,ME,Finance,"ETH,NFT,ALT",remittance,++,1,,25,friends,Y,Y
443,f2f,2025,Humanities,Phd,South America,Technology,BTC,"remittance,trans",+++,,,50,study/research,Y,Y
444,online,2020,STEM,2nd,Africa,Retail,"BTC,NFT,ALT",trade,++,1-3,--,,marketing,Y,Y
445,online,2021,Business,2nd,China,Finance,"BTC,ETH,ALT",remittance,++,1-3,,100,family,Y,Y
446,f2f,2020,Business,PhD,Turkey,Engineering,"BTC,ALT",remittance,+++,1,,100,marketing,N,Y
447,f2f,2024,STEM,MSc,Turkey,Engineering,"BTC,ETH","trade,remittance",+,1-3,-,100,family,Y,N
448,online,2020,STEM,1st,ME,Finance,NFT,trade,++,1-3,--,,marketing,Y,Y
449,f2f,2024,Business,MSc,USA,Technology,BTC,"trade,remittance,trans",++,4-5,--,100,family,Y,Y
450,f2f,2020,STEM,MSc,UK,Engineering,,trade,++,5+,+++,,friends,N,Y
451,f2f,2024,Business,3rd,China,Technology,ALT,"remittance,trans",+++,1-3,,25,study/research,Y,Y
452,f2f,2025,Business,3rd,South America,Technology,"BTC,ALT","remittance,trans",++,,,100,study/research,Y,Y
453,f2f,2022,Business,PhD,India,Public,ALT,"remittance,trans",+++,4-5,,75,study/research,Y,Y
454,online,2024,Business,1st,Turkey,,"ETH,DOGE","remittance,trans",++,1,,50,study/research,N,Y
455,online,2020,STEM,MSc,Turkey,Medical,BTC,remittance,+++,1,,25,study/research,N,N
456,f2f,2021,Humanities,3rd,USA,Finance,ETH,"remittance,trans",+++,1,,75,study/research,N,Y
457,f2f,2020,Humanities,3rd,USA,Finance,ALT,"remittance,trans",++,1-3,,100,study/research,Y,Y
458,online,2022,STEM,1st,ME,Medical,"BTC,ETH",remittance,+,1-3,,50,study/research,N,Y
459,f2f,2023,STEM,1st,Europe,Finance,"BTC,ETH",trade,++,1-3,--,,marketing,Y,N
460,online,2023,Business,PhD,ME,Engineering,ETH,"trade,remittance,trans",+++,1-3,-,100,marketing,N,N
461,f2f,2022,Business,MSc,South America,Technology,ETH,"trade,remittance",+++,4-5,,25,marketing,Y,Y
462,online,2022,STEM,3rd,Turkey,Medical,"BTC,DOGE",remittance,+++,1,,75,study/research,Y,N
463,f2f,2022,Business,PhD,Europe,Finance,BTC,"remittance,trans",++,1-3,,25,study/research,Y,N
464,online,2021,Business,3rd,ME,Finance,"BTC,ETH",remittance,+,1-3,,75,friends,Y,N
465,f2f,2021,STEM,3rd,Europe,Finance,"ETH,NFT,ALT",remittance,+,,,25,friends,Y,Y
466,online,2021,Business,PhD,USA,Retail,ALT,"remittance,trans",+++,1-3,,25,marketing,Y,N
467,online,2021,STEM,2nd,South America,Technology,BTC,"trade,remittance,trans",+++,1-3,--,25,marketing,Y,N
468,online,2021,Humanities,Phd,India,Retail,ALT,"remittance,trans",++,4-5,,25,study/research,N,Y
469,online,2020,STEM,3rd,China,Engineering,"ETH,ALT",remittance,++,11-3,,50,study/research,Y,Y
470,online,2022,Business,MSc,Turkey,Technology,,"trade,remittance",+++,,,50,marketing,Y,Y
471,f2f,2022,STEM,3rd,USA,Technology,"BTC,ETH,ALT",trade,++,1,-,,marketing,N,N
472,f2f,2023,Humanities,2nd,USA,Medical,"BTC,ALT",remittance,+++,4-5,,75,study/research,Y,N
473,f2f,2024,STEM,3rd,Africa,Engineering,DOGE,trade,+++,5+,+++,,friends,Y,Y
474,online,2024,Business,3rd,Europe,Finance,ALT,"remittance,trans",++,1-3,,25,friends,Y,Y
475,f2f,2021,STEM,MSc,Turkey,Technology,BTC,"trade,remittance",+++,4-5,+,75,marketing,Y,Y
476,online,2024,STEM,PhD,India,Finance,BTC,"trade,remittance,trans",,1-3,++,50,family,N,Y
477,online,2023,Business,MSc,USA,Public,"BTC,ALT",remittance,+,4-5,,25,marketing,N,Y
478,f2f,2021,STEM,MSc,ME,Retail,"BTC,ETH","trade,remittance",+++,5+,+++,,family,Y,Y
479,online,2025,Humanities,PhD,USA,Finance,ALT,"remittance,trans",+++,,,25,study/research,Y,Y
480,f2f,2020,STEM,MSc,China,Technology,,"trade,remittance",+++,1-3,--,25,marketing,Y,Y
481,f2f,2021,STEM,MSc,China,Technology,DOGE,trade,+++,1-3,++,,study/research,Y,Y
482,online,2021,Business,3rd,USA,Finance,"BTC,NFT",remittance,+++,1-3,,25,marketing,Y,N
483,f2f,2023,STEM,MSc,Turkey,Technology,ETH,trade,+++,1-3,+,,study/research,Y,Y
484,online,2021,STEM,MSc,ME,Finance,,"trade,remittance",++,1,+++,,marketing,Y,Y
485,f2f,2023,Business,MSc,Turkey,Medical,"BTC,ETH","trade,remittance",+++,5+,--,50,family,Y,Y
486,f2f,2020,Business,MSc,USA,Medical,"BTC,ALT",remittance,++,4-5,,25,friends,Y,N
487,online,2024,STEM,1st,South America,Legal,"BTC,ALT",remittance,+++,1-3,,25,friends,Y,Y
488,online,2023,Business,PhD,USA,Retail,BTC,"remittance,trans",+++,1,,50,family,N,Y
489,online,2020,Humanities,2nd,Africa,,"BTC,NFT,DOGE",trade,++,1-3,++,,friends,Y,Y
490,f2f,2021,STEM,PhD,Europe,Engineering,"BTC,NFT,DOGE",trade,+++,1-3,-,,friends,Y,Y
491,online,2020,Humanities,PhD,Africa,Retail,"BTC,NFT,DOGE",trade,+,1,-,,marketing,Y,N
492,online,2022,STEM,MSc,Turkey,Technology,,remittance,+,1,,100,family,N,Y
493,f2f,2020,Humanities,Phd,Europe,Retail,"BTC,ALT",remittance,++,,,25,marketing,N,Y
494,f2f,2025,Humanities,MSc,Turkey,Finance,BTC,"remittance,trans",+++,1,,50,study/research,Y,N
495,f2f,2024,Business,PhD,South America,Technology,"ETH,DOGE","remittance,trans",++,5+,,25,study/research,Y,Y
496,f2f,2021,STEM,PhD,USA,Legal,"BTC,NFT",remittance,+++,4-5,,25,friends,Y,Y
497,online,2021,STEM,MSc,India,Medical,"BTC,ETH","trade,remittance",+++,4-5,++,100,marketing,Y,Y
498,f2f,2021,STEM,PhD,Turkey,Finance,"BTC,ETH,ALT",trade,++,,++,,study/research,Y,Y
499,f2f,2020,Humanities,PhD,USA,Finance,"BTC,ALT",remittance,++,,,75,marketing,N,N
500,f2f,2024,Business,PhD,India,Retail,"BTC,DOGE","remittance,trans",++,1,,50,study/research,Y,Y
501,online,2025,Business,3rd,USA,Finance,BTC,"remittance,trans",++,,,75,study/research,Y,Y
502,f2f,2024,Business,MSc,Turkey,Medical,BTC,"remittance,trans",++,4-5,,75,study/research,Y,Y
503,online,2021,Humanities,3rd,China,Engineering,BTC,remittance,+++,,,100,friends,Y,Y
504,f2f,2020,Humanities,3rd,Europe,Finance,"ETH,NFT,ALT",remittance,+,,,25,friends,N,N
505,f2f,2021,STEM,3rd,China,Finance,"BTC,NFT,ALT",trade,+++,,+++,,study/research,Y,Y
506,online,2021,STEM,PhD,ME,Finance,ETH,"trade,remittance",+++,4-5,--,,family,Y,Y
507,f2f,2021,STEM,MSc,China,Finance,DOGE,"trade,remittance",+++,,-,25,study/research,Y,Y
508,online,2021,STEM,MSc,Europe,Finance,"BTC,ALT",remittance,++,4-5,,25,family,Y,Y
509,online,2023,STEM,MSc,Europe,Finance,NFT,trade,+++,4-5,++,,study/research,Y,Y
510,online,2024,Business,2nd,USA,,ETH,trade,+,1,--,,marketing,N,N
511,online,2022,STEM,2nd,ME,Medical,"BTC,ETH,ALT",trade,++,1,--,,marketing,Y,N
512,online,2024,Business,1st,China,Technology,"BTC,ETH,ALT","remittance,trans",++,4-5,,25,marketing,Y,Y
513,online,2021,Business,PhD,South America,Finance,ETH,"trade,remittance,trans",,1-3,-,25,family,Y,Y
